Tabelle: 42153-0001
Index of production in manufacturing: Germany, months,;;
original and adjusted data, economic activities;;
(main groups and aggregates);;
Indices of production in manufacturing;;;
Germany;;;
Index of production (2021=100);;;
;;Original and adjusted data;
;;X13 JDemetra+  calendar and seasonally adjusted;
Industry;;;
;July;100.9;p
;August;98.8;p
;September;97.5;p
;October;99.6;p
;November;99.1;p
;December;99.2;p
2022;January;100.6;p
;February;100.6;p
;March;98.0;p
;April;98.3;p
;May;99.8;p
;June;99.2;p
;July;99.2;p
;August;99.9;p
;September;100.4;p
;October;101.3;p
;November;100.5;p
;December;98.6;p
2023;January;99.7;p
;February;100.9;p
;March;98.6;p
;April;99.1;p
;May;100.3;p
;June;98.9;p
;July;98.5;p
;August;98.1;p
;September;97.3;p
;October;96.4;p
;November;95.3;p
;December;94.1;p
2024;January;95.5;p
;February;95.7;p
;March;94.2;p
;April;94.2;p
;May;93.0;p
;June;93.2;p
;July;91.2;p
;August;92.2;p
;September;92.0;p
;October;92.0;p
;November;92.6;p
;December;93.4;p
2025;January;92.9;p
;February;92.2;p
;March;94.4;p
;April;92.2;p
;May;92.2;p
;June;91.1;p
;July;92.8;p
;August;91.7;p
;September;90.9;p
;October;93.2;p
;November;93.7;p
;December;94.1;p
Industry (except energy, construction, 29);;;
2006;January;-;
;February;-;
;March;-;
;April;-;
;May;-;
;June;-;
;July;-;
;August;-;
;September;-;
;October;-;
;November;-;
;December;-;
2007;January;-;
;February;-;
;March;-;
;April;-;
;May;-;
;June;-;
;July;-;
;August;-;
;September;-;
;October;-;
;November;-;
;December;-;
2008;January;-;
;February;-;
;March;-;
;April;-;
;May;-;
;June;-;
;July;-;
;August;-;
;September;-;
;October;-;
;November;-;
;December;-;
2009;January;-;
;February;-;
;March;-;
;April;-;
;May;-;
;June;-;
;July;-;
;August;-;
;September;-;
;October;-;
;November;-;
;December;-;
2010;January;84.1;p
;February;83.7;p
;March;85.9;p
;April;87.6;p
;May;89.4;p
;June;89.3;p
;July;89.6;p
;August;91.6;p
;September;91.1;p
;October;93.1;p
;November;93.0;p
;December;92.8;p
2011;January;94.3;p
;February;95.1;p
;March;95.8;p
;April;96.4;p
;May;96.9;p
;June;96.2;p
;July;98.8;p
;August;97.7;p
;September;96.3;p
;October;97.2;p
;November;97.0;p
;December;95.2;p
2012;January;95.4;p
;February;95.5;p
;March;97.0;p
;April;95.3;p
;May;97.3;p
;June;96.0;p
;July;96.9;p
;August;96.2;p
;September;95.5;p
;October;95.0;p
;November;93.8;p
;December;94.7;p
2013;January;94.0;p
;February;94.3;p
;March;95.1;p
;April;95.4;p
;May;95.3;p
;June;96.3;p
;July;95.8;p
;August;95.2;p
;September;96.3;p
;October;96.3;p
;November;97.2;p
;December;97.5;p
2014;January;97.3;p
;February;97.5;p
;March;97.6;p
;April;97.4;p
;May;96.3;p
;June;96.4;p
;July;97.6;p
;August;96.9;p
;September;96.9;p
;October;97.5;p
;November;96.9;p
;December;98.6;p
2015;January;97.1;p
;February;97.2;p
;March;97.3;p
;April;98.4;p
;May;98.0;p
;June;98.6;p
;July;98.3;p
;August;97.2;p
;September;97.3;p
;October;97.5;p
;November;97.2;p
;December;98.5;p
2016;January;99.1;p
;February;99.5;p
;March;98.4;p
;April;98.5;p
;May;97.9;p
;June;98.8;p
;July;97.4;p
;August;98.9;p
;September;99.2;p
;October;99.5;p
;November;100.4;p
;December;98.5;p
2017;January;99.3;p
;February;100.6;p
;March;100.2;p
;April;101.7;p
;May;101.8;p
;June;102.1;p
;July;102.6;p
;August;103.0;p
;September;103.9;p
;October;102.6;p
;November;105.9;p
;December;106.2;p
2018;January;104.6;p
;February;103.7;p
;March;103.9;p
;April;103.7;p
;May;105.9;p
;June;105.2;p
;July;104.0;p
;August;105.6;p
;September;105.0;p
;October;104.6;p
;November;102.9;p
;December;103.1;p
2019;January;103.6;p
;February;102.7;p
;March;104.1;p
;April;102.8;p
;May;102.2;p
;June;101.3;p
;July;101.1;p
;August;101.6;p
;September;100.6;p
;October;100.4;p
;November;100.7;p
;December;98.8;p
2020;January;101.4;p
;February;102.2;p
;March;95.6;p
;April;81.9;p
;May;84.8;p
;June;90.0;p
;July;90.7;p
;August;92.2;p
;September;93.5;p
;October;96.2;p
;November;97.4;p
;December;98.2;p
2021;January;100.0;p
;February;97.8;p
;March;99.3;p
;April;99.8;p
;May;101.0;p
;June;99.5;p
;July;100.4;p
;August;98.7;p
;September;97.9;p
;October;99.6;p
;November;99.5;p
;December;99.9;p
2022;January;100.6;p
;February;100.2;p
;March;97.8;p
;April;97.9;p
;May;98.8;p
;June;98.3;p
;July;97.9;p
;August;98.2;p
;September;98.6;p
;October;98.7;p
;November;98.0;p
;December;95.5;p
2023;January;97.1;p
;February;98.1;p
;March;95.9;p
;April;96.1;p
;May;97.0;p
;June;95.7;p
;July;95.3;p
;August;95.1;p
;September;94.6;p
;October;93.6;p
;November;92.9;p
;December;91.2;p
2024;January;92.8;p
;February;93.7;p
;March;92.4;p
;April;92.2;p
;May;91.2;p
;June;91.6;p
;July;89.8;p
;August;90.6;p
;September;89.9;p
;October;90.0;p
;November;90.6;p
;December;90.9;p
2025;January;90.7;p
;February;90.2;p
;March;92.4;p
;April;90.3;p
;May;90.1;p
;June;88.9;p
;July;90.3;p
;August;89.7;p
;September;88.9;p
;October;90.8;p
;November;91.1;p
;December;91.2;p
Energy-intensive industries;;;
2006;January;100.7;p
;February;101.5;p
;March;100.2;p
;April;102.9;p
;May;107.0;p
;June;104.7;p
;July;106.2;p
;August;107.2;p
;September;108.2;p
;October;106.1;p
;November;107.3;p
;December;114.4;p
2007;January;108.9;p
;February;108.7;p
;March;108.6;p
;April;106.9;p
;May;108.0;p
;June;108.1;p
;July;108.1;p
;August;108.2;p
;September;108.2;p
;October;107.9;p
;November;107.8;p
;December;110.3;p
2008;January;110.1;p
;February;109.4;p
;March;108.7;p
;April;108.2;p
;May;107.7;p
;June;107.5;p
;July;107.4;p
;August;109.0;p
;September;105.6;p
;October;103.9;p
;November;96.0;p
;December;88.4;p
2009;January;82.7;p
;February;83.9;p
;March;81.4;p
;April;82.6;p
;May;85.1;p
;June;88.1;p
;July;89.8;p
;August;91.8;p
;September;93.2;p
;October;93.1;p
;November;95.6;p
;December;92.9;p
2010;January;94.5;p
;February;93.9;p
;March;98.1;p
;April;99.8;p
;May;101.7;p
;June;101.7;p
;July;100.9;p
;August;103.3;p
;September;102.4;p
;October;102.7;p
;November;103.5;p
;December;100.3;p
2011;January;103.9;p
;February;104.4;p
;March;104.6;p
;April;105.3;p
;May;104.5;p
